,bike_group,duration,Tempbyduration,Humibyduration,Presbyduration,Dewbyduration,Visibyduration,trips number,subscriber ratio,morning rate,afternoon rate,evening rate,night rate,mean_household_income,commuting_to_work_perc_PT,mean_work_commuting_time_min,perc_HS_or_higher,perc_bachelor_or_higher,start_crime_score,end_crime_score
1267,259_0,38803,66.04574259722187,0.7148424090920805,29.96100894260753,56.43743396129165,10.0,9,0.2222222222222222,0.016699739710847098,0.37394015926603613,0.31616112156276577,0.293198979460351,148633.55555555556,22.03333333333333,28.111111111111107,0.8755555555555555,0.6133333333333333,2012.1111111111106,1973.8518518518515
1268,259_1,22569,65.03047986175729,0.6944375027692854,29.84985666179272,54.625969249856,10.0,23,0.6086956521739131,0.14076831051442243,0.23767114183171606,0.5665293101156453,0.055031237538216135,139115.78260869565,26.16521739130435,27.73913043478261,0.8608695652173912,0.5578260869565217,3122.4057971014495,3337.6086956521744
1269,259_2,328133,59.060933777868534,0.6008218288519188,30.094897053938517,43.95801844577252,9.748575577585918,412,0.8203883495145631,0.3035933600095083,0.26584647079080737,0.3344314652899891,0.0424736311190889,152948.6921182266,26.548275862068998,28.0184729064039,0.8921182266009866,0.6127586206896559,3290.9154351395714,3307.0164609053536
1270,259_3,345600,64.89508475598001,0.66464279996142,30.00496757330246,52.70983227237657,9.910899594907407,419,0.8329355608591885,0.235078125,0.2397337962962963,0.39178819444444446,0.06266782407407408,156269.29268292684,25.491463414634172,28.13414634146339,0.8945365853658555,0.6244878048780493,2926.330081300814,2887.00896495518
1271,25_0,4603,73.93598739952205,0.5672507060612645,29.895408429285254,56.56408863784488,10.0,6,0.8333333333333334,0.10514881598957201,0.04583966978057789,0.8490115142298501,0.0,96630.0,12.459999999999999,28.080000000000002,0.8480000000000001,0.4680000000000001,886.2666666666667,819.5
1272,25_1,2644,68.01372919818456,0.5890204236006051,29.91324508320726,52.75729954614221,10.0,5,0.8,0.09757942511346444,0.6573373676248109,0.07677760968229955,0.0,93395.6,12.540000000000001,28.7,0.868,0.466,846.2,846.2
1273,25_2,22123,62.703263571848304,0.5889978755141707,29.985239117660356,45.15447724088053,10.0,10,0.6,0.028657957781494374,0.2609049405595986,0.0,0.6643312389820549,79425.2,9.27,27.220000000000006,0.8230000000000002,0.29399999999999993,372.1333333333333,372.1333333333334
1274,25_3,1070,52.297943925233646,0.7823925233644861,30.035644859813083,45.71102803738318,10.0,2,0.0,0.0,0.0,0.0,0.0,98750.0,15.3,31.0,0.94,0.6,1153.3333333333333,385.5
1275,25_4,864,53.411458333333336,0.7812847222222222,30.096701388888892,46.56875,10.0,3,1.0,0.3020833333333333,0.0,0.3680555555555556,0.0,95216.66666666667,10.566666666666666,26.133333333333336,0.7866666666666666,0.38000000000000006,708.2222222222223,930.7777777777777
1276,25_5,7621,48.5380396273455,0.5932082403884005,30.126201285920484,34.35631806849495,9.94646371867209,14,1.0,0.15063639942264795,0.2654507282508857,0.32029917333683244,0.08962078467392731,91173.66666666667,10.666666666666666,26.90833333333333,0.8116666666666666,0.37749999999999995,658.1388888888889,585.8055555555555
1277,25_6,758,55.271240105540905,0.8263852242744063,29.708364116094984,49.773087071240106,9.113456464379947,2,1.0,0.0,0.0,1.0,0.0,85364.0,8.399999999999999,25.25,0.76,0.265,385.5,719.3333333333333
1278,25_7,47923,71.22446928753764,0.5887359757666815,29.954286407361806,55.423660177089644,9.997989830909304,61,0.8360655737704918,0.1329215616718486,0.34330071155812447,0.32159923210149616,0.14913507084281033,93356.43103448275,10.193103448275863,26.0793103448276,0.7910344827586209,0.3653448275862068,635.5057471264367,640.887005649717
1279,260_0,290604,61.99500511578181,0.5956170997875688,30.031005836120645,46.26696162704807,9.753945173959522,368,0.8043478260869565,0.2687678077383656,0.27514074135249345,0.31734938266507,0.07391157726665841,151972.73961218836,26.24709141274239,28.01412742382267,0.8895844875346274,0.6102216066481997,3199.373037857802,3199.9504132231446
1280,260_1,302558,65.14195749244776,0.6529917376723362,30.004014032020304,52.59015780996259,9.950336244070007,412,0.8543689320388349,0.29241335545581343,0.21488772400663675,0.39498872943369534,0.05330878707553593,150719.91228070174,26.404010025062668,28.126817042606472,0.8907518796992493,0.6092481203007524,3264.507936507937,3391.128844555277
1281,261_0,1790,71.6,0.6400000000000001,30.01,59.0,10.0,1,0.0,0.0,0.0,1.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
1282,261_1,1110,75.2,0.36,30.14,46.4,10.0,1,0.0,0.0,1.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
1283,261_2,4892,71.6,0.3,30.01,38.3,10.0,1,0.0,0.0,0.0,1.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
1284,261_3,1582,59.0,0.69,30.04,48.9,8.0,1,1.0,0.0,1.0,0.0,0.0,77278.0,8.6,26.8,0.81,0.26,285.3333333333333,285.3333333333333
1285,261_4,1896,62.74425105485232,0.46606012658227847,30.13061181434599,40.49456751054852,10.0,4,1.0,0.0,0.0,1.0,0.0,95216.66666666667,10.566666666666666,26.133333333333336,0.7866666666666666,0.38000000000000006,708.2222222222223,602.5
1286,261_5,674,46.40000000000001,0.48,30.16,27.5,30.0,1,1.0,0.0,1.0,0.0,0.0,219868.0,6.3,23.1,0.98,0.79,447.0,197.5
1287,261_6,1016,43.7,0.785,30.33,37.40000000000001,10.0,1,1.0,1.0,0.0,0.0,0.0,219868.0,6.3,23.1,0.98,0.79,447.0,197.5
1288,261_7,16296,58.18538291605302,0.2879789518900344,30.164584560628377,41.516826215022085,24.714653902798233,13,0.5384615384615384,0.20710603829160532,0.4800564555719195,0.3128375061364752,0.0,197769.53846153847,6.299999999999998,23.146153846153844,0.9707692307692312,0.7623076923076924,331.84615384615387,322.4230769230769
